회계연도,지역명,자치단체명,자치단체코드,본청여부,통합재정수지비율
2018,경기,경기수원시,4111000,N,-0.55
2018,경기,경기성남시,4112000,N,3.56
2018,경기,경기의정부시,4113000,N,7.52
2018,경기,경기안양시,4114000,N,5.54
2018,경기,경기부천시,4115000,N,8.43
2018,경기,경기광명시,4116000,N,5.69
2018,경기,경기평택시,4117000,N,6.43
2018,경기,경기동두천시,4118000,N,3.74
2018,경기,경기안산시,4119000,N,-0.56
2018,경기,경기고양시,4120000,N,4.76
2018,경기,경기과천시,4121000,N,39.74
2018,경기,경기구리시,4122000,N,4.77
2018,경기,경기남양주시,4123000,N,9.68
2018,경기,경기오산시,4124000,N,4.61
2018,경기,경기시흥시,4125000,N,-10.97
2018,경기,경기군포시,4126000,N,-2.42
2018,경기,경기의왕시,4127000,N,1.72
2018,경기,경기하남시,4128000,N,11.2
2018,경기,경기용인시,4129000,N,2.66
2018,경기,경기파주시,4130000,N,25.09
2018,경기,경기이천시,4131000,N,26.57
2018,경기,경기안성시,4132000,N,13.62
2018,경기,경기김포시,4133000,N,10.55
2018,경기,경기화성시,4134000,N,8.48
2018,경기,경기광주시,4135000,N,13.77
2018,경기,경기양주시,4136000,N,2.45
2018,경기,경기포천시,4137000,N,18.38
2018,경기,경기여주시,4138000,N,15.92
2018,경기,경기연천군,4175000,N,25.76
2018,경기,경기가평군,4177000,N,-3.25
2018,경기,경기양평군,4178000,N,3.9
2018,강원,강원본청,4200000,Y,1.42
2018,강원,강원춘천시,4211000,N,14.51
2018,강원,강원원주시,4212000,N,6.43
2018,강원,강원강릉시,4213000,N,17.72
2018,강원,강원동해시,4214000,N,6.67
2018,강원,강원태백시,4215000,N,13.93
2018,강원,강원속초시,4216000,N,4.79
2018,강원,강원삼척시,4217000,N,10.68
2018,강원,강원홍천군,4271000,N,5.52
2018,강원,강원횡성군,4272000,N,6.43
2018,강원,강원영월군,4273000,N,4.53
2018,강원,강원평창군,4274000,N,-3.11
2018,강원,강원정선군,4275000,N,4.3
2018,강원,강원철원군,4276000,N,-0.81
2018,강원,강원화천군,4277000,N,7.24
2018,강원,강원양구군,4278000,N,1.55
2018,강원,강원인제군,4279000,N,15.82
2018,강원,강원고성군,4280000,N,11.71
2018,강원,강원양양군,4281000,N,5.56
2018,충북,충북본청,4300000,Y,2.27
2018,충북,충북충주시,4312000,N,9.92
2018,충북,충북제천시,4313000,N,2.2
2018,충북,충북청주시,4314000,N,3.07
2018,충북,충북보은군,4372000,N,3.21
2018,충북,충북옥천군,4373000,N,11.02
2018,충북,충북영동군,4374000,N,10.58
