회계연도,지역명,자치단체명,본청여부,당초예산,최종예산,증감액,증감률
2012,인천,인천동구,N,153427079000,156300000000,2872921000,1.8725
2012,인천,인천본청,Y,7998358333000,7987500000000,-10858333000,-0.1358
2012,인천,인천부평구,N,408185586000,426900000000,18714414000,4.5848
2012,인천,인천서구,N,373435718000,424300000000,50864282000,13.6206
2012,인천,인천연수구,N,275566388000,305000000000,29433612000,10.6811
2012,인천,인천옹진군,N,218072225000,265800000000,47727775000,21.8862
2012,인천,인천중구,N,218849848000,269900000000,51050152000,23.3266
2012,전남,전남강진군,N,251976895000,322000000000,70023105000,27.7895
2012,전남,전남고흥군,N,405647792000,505000000000,99352208000,24.4922
2012,전남,전남곡성군,N,238360025000,282500000000,44139975000,18.5182
2012,전남,전남광양시,N,495076500000,543600000000,48523500000,9.8012
2012,전남,전남구례군,N,214137571000,255100000000,40962429000,19.129
2012,전남,전남나주시,N,438190106000,596600000000,158409894000,36.151
2012,전남,전남담양군,N,290856566000,344800000000,53943434000,18.5464
2012,전남,전남목포시,N,585486434000,633800000000,48313566000,8.2519
2012,전남,전남무안군,N,326072213000,394700000000,68627787000,21.0468
2012,전남,전남보성군,N,327438250000,381600000000,54161750000,16.5411
2012,전남,전남본청,Y,5664760056000,6711300000000,1046539944000,18.4746
2012,전남,전남순천시,N,762769036000,868700000000,105930964000,13.8877
2012,전남,전남신안군,N,392924925000,480100000000,87175075000,22.1862
2012,전남,전남여수시,N,939519712000,1170500000000,230980288000,24.5849
2012,전남,전남영광군,N,357971631000,460700000000,102728369000,28.6973
2012,전남,전남영암군,N,389821351000,464300000000,74478649000,19.1058
2012,전남,전남완도군,N,335733744000,444100000000,108366256000,32.2774
2012,전남,전남장성군,N,288908460000,350600000000,61691540000,21.3533
2012,전남,전남장흥군,N,278151134000,392000000000,113848866000,40.9306
2012,전남,전남진도군,N,250123689000,329600000000,79476311000,31.7748
2012,전남,전남함평군,N,233827460000,287500000000,53672540000,22.9539
2012,전남,전남해남군,N,436010074000,542200000000,106189926000,24.3549
2012,전남,전남화순군,N,414651929000,495000000000,80348071000,19.3772
2012,전북,전북고창군,N,386205143000,465700000000,79494857000,20.5836
2012,전북,전북군산시,N,814644585000,905300000000,90655415000,11.1282
2012,전북,전북김제시,N,506011481000,573600000000,67588519000,13.3571
2012,전북,전북남원시,N,465373558000,508500000000,43126442000,9.2671
2012,전북,전북무주군,N,244387877000,293000000000,48612123000,19.8914
2012,전북,전북본청,Y,4590444009000,4925300000000,334855991000,7.2946
2012,전북,전북부안군,N,344744743000,397200000000,52455257000,15.2157
2012,전북,전북순창군,N,242700002000,292900000000,50199998000,20.684
2012,전북,전북완주군,N,507191450000,549400000000,42208550000,8.322
2012,전북,전북익산시,N,809878855000,896000000000,86121145000,10.6338
2012,전북,전북임실군,N,288866144000,315200000000,26333856000,9.1163
2012,전북,전북장수군,N,246534679000,302600000000,56065321000,22.7414
2012,전북,전북전주시,N,1204238451000,1275900000000,71661549000,5.9508
2012,전북,전북정읍시,N,565827594000,659100000000,93272406000,16.4842
2012,전북,전북진안군,N,259788634000,311200000000,51411366000,19.7897
2012,제주,제주본청,Y,3390632441000,3775300000000,384667559000,11.345
2012,충남,충남계룡시,N,132735011000,157300000000,24564989000,18.5068
2012,충남,충남공주시,N,522236625000,612700000000,90463375000,17.3223
2012,충남,충남금산군,N,299966014000,343700000000,43733986000,14.5796
2012,충남,충남논산시,N,467000143000,530000000000,62999857000,13.4903
2012,충남,충남당진시,N,620635966000,697600000000,76964034000,12.4008
2012,충남,충남보령시,N,498759697000,548500000000,49740303000,9.9728
2012,충남,충남본청,Y,4915500000000,4946100000000,30600000000,0.6225
2012,충남,충남부여군,N,388190311000,456600000000,68409689000,17.6227
2012,충남,충남서산시,N,544301176000,637800000000,93498824000,17.1778
2012,충남,충남서천군,N,323537738000,368200000000,44662262000,13.8043
2012,충남,충남아산시,N,783567706000,999000000000,215432294000,27.4938
2012,충남,충남예산군,N,387463055000,478500000000,91036945000,23.4956
2012,충남,충남천안시,N,1201387994000,1278700000000,77312006000,6.4352
2012,충남,충남청양군,N,256677560000,323000000000,66322440000,25.8388
2012,충남,충남태안군,N,306983685000,425100000000,118116315000,38.4764
2012,충남,충남홍성군,N,422700310000,464100000000,41399690000,9.7941
2012,충북,충북괴산군,N,261697895000,352400000000,90702105000,34.6591
2012,충북,충북단양군,N,249483264000,308200000000,58716736000,23.5353
2012,충북,충북보은군,N,239079974000,297600000000,58520026000,24.4772
2012,충북,충북본청,Y,3308567275000,3475000000000,166432725000,5.0304
2012,충북,충북영동군,N,286388420000,343600000000,57211580000,19.9769
2012,충북,충북옥천군,N,285854635000,330600000000,44745365000,15.6532
2012,충북,충북음성군,N,357229644000,441200000000,83970356000,23.506
2012,충북,충북제천시,N,476630757000,528200000000,51569243000,10.8195
2012,충북,충북증평군,N,168280410000,178600000000,10319590000,6.1324
2012,충북,충북진천군,N,293314326000,331000000000,37685674000,12.8482
2012,충북,충북청원군,N,496963371000,610300000000,113336629000,22.8058
2012,충북,충북청주시,N,1101670218000,1229100000000,127429782000,11.567
2012,충북,충북충주시,N,697938754000,796300000000,98361246000,14.0931
2013,강원,강원강릉시,N,647971496000,744900000000,96928504000,14.9588
2013,강원,강원고성군,N,251956256000,296000000000,44043744000,17.4807
2013,강원,강원동해시,N,292767027000,327300000000,34532973000,11.7954
2013,강원,강원본청,Y,4219834004000,4846100000000,626265996000,14.841
2013,강원,강원삼척시,N,444880733000,524300000000,79419267000,17.8518
2013,강원,강원속초시,N,294853676000,330000000000,35146324000,11.9199
2013,강원,강원양구군,N,248470914000,292500000000,44029086000,17.72
2013,강원,강원양양군,N,220497661000,247500000000,27002339000,12.2461
2013,강원,강원영월군,N,283182237000,358300000000,75117763000,26.5263
2013,강원,강원원주시,N,804657154000,981000000000,176342846000,21.9153
2013,강원,강원인제군,N,280785514000,356100000000,75314486000,26.8228
2013,강원,강원정선군,N,324025063000,394300000000,70274937000,21.6881
2013,강원,강원철원군,N,273893093000,335800000000,61906907000,22.6026
2013,강원,강원춘천시,N,923322521000,1081200000000,157877479000,17.0988
2013,강원,강원태백시,N,255965355000,304700000000,48734645000,19.0395
2013,강원,강원평창군,N,286735303000,393900000000,107164697000,37.3741
2013,강원,강원홍천군,N,406298761000,526500000000,120201239000,29.5844
2013,강원,강원화천군,N,230233674000,270200000000,39966326000,17.359
2013,강원,강원횡성군,N,301405713000,373500000000,72094287000,23.9193
2013,경기,경기가평군,N,336821903000,416500000000,79678097000,23.6559
2013,경기,경기고양시,N,1456602469000,1617200000000,160597531000,11.0255
2013,경기,경기과천시,N,331609039000,373100000000,41490961000,12.512
2013,경기,경기광명시,N,544357843000,672600000000,128242157000,23.5584
2013,경기,경기광주시,N,543049069000,648700000000,105650931000,19.4551
2013,경기,경기구리시,N,362334541000,458400000000,96065459000,26.5129
2013,경기,경기군포시,N,443753678000,496300000000,52546322000,11.8413
2013,경기,경기김포시,N,633886006000,794100000000,160213994000,25.2749
2013,경기,경기남양주시,N,927505188000,1093800000000,166294812000,17.9293
2013,경기,경기동두천시,N,301747304000,374700000000,72952696000,24.1768
2013,경기,경기본청,Y,16630920117000,17493500000000,862579883000,5.1866
2013,경기,경기부천시,N,1138960114000,1312500000000,173539886000,15.2367
2013,경기,경기성남시,N,2357088769000,2740700000000,383611231000,16.2748
2013,경기,경기수원시,N,1874948413000,2217700000000,342751587000,18.2806
2013,경기,경기시흥시,N,1127721905000,1415000000000,287278095000,25.4742
2013,경기,경기안산시,N,1627149986000,2109200000000,482050014000,29.6254
2013,경기,경기안성시,N,564771963000,660000000000,95228037000,16.8613
2013,경기,경기안양시,N,883880961000,1029900000000,146019039000,16.5202
2013,경기,경기양주시,N,510432641000,602700000000,92267359000,18.0763
2013,경기,경기양평군,N,415449373000,492500000000,77050627000,18.5463
2013,경기,경기연천군,N,352221240000,455400000000,103178760000,29.2937
