회계연도,시도명,계층,세목명,금액,비중
2014,울산,군,담배소비세,14176527000,0.69
2014,울산,군,도시계획세(재산세),7950000,0
2014,울산,군,도축세,0,0
2014,울산,군,자동차세,42879424000,2.09
2014,울산,군,재산세,43199088000,2.1
2014,울산,군,주민세,12244174000,0.6
2014,울산,군,지방소득세,69648099000,3.39
2014,울산,군,지역자원시설세,0,0
2014,울산,시도,과년도수입,3748040000,0.01
2014,울산,시도,담배소비세,59642438000,0.13
2014,울산,시도,도시계획세(재산세),10573000,0
2014,울산,시도,도축세,0,0
2014,울산,시도,등록면허세,35542825000,0.08
2014,울산,시도,레저세,0,0
2014,울산,시도,자동차세,140739081000,0.31
2014,울산,시도,재산세,131062521000,0.28
2014,울산,시도,주민세,56111023000,0.12
2014,울산,시도,지방교육세,120812680000,0.26
2014,울산,시도,지방소득세,283093318000,0.61
2014,울산,시도,지역자원시설세,28047347000,0.06
2014,울산,시도,취득세,405832286000,0.89
2014,인천,군,과년도수입,-1845299000,-0.09
2014,인천,군,담배소비세,5821560000,0.28
2014,인천,군,도시계획세(재산세),0,0
2014,인천,군,도축세,0,0
2014,인천,군,자동차세,11331068000,0.55
2014,인천,군,재산세,15282314000,0.74
2014,인천,군,주민세,1221326000,0.06
2014,인천,군,지방소득세,7582621000,0.37
2014,인천,군,지역자원시설세,0,0
2014,인천,시도,과년도수입,19692509000,0.05
2014,인천,시도,담배소비세,154996330000,0.34
2014,인천,시도,도시계획세(재산세),54596000,0
2014,인천,시도,도축세,0,0
2014,인천,시도,등록면허세,82886890000,0.18
2014,인천,시도,레저세,22992068000,0.05
2014,인천,시도,자동차세,374600283000,0.81
2014,인천,시도,재산세,486922660000,1.06
2014,인천,시도,주민세,60459985000,0.13
2014,인천,시도,지방교육세,282008627000,0.61
2014,인천,시도,지방소득세,337736666000,0.73
2014,인천,시도,지역자원시설세,67798870000,0.15
2014,인천,시도,취득세,1014839620000,2.2
2014,전남,군,과년도수입,3238762000,0.16
2014,전남,군,담배소비세,45081217000,2.19
2014,전남,군,도시계획세(재산세),25520000,0
2014,전남,군,도축세,0,0
2014,전남,군,자동차세,147083817000,7.16
2014,전남,군,재산세,56439951000,2.75
2014,전남,군,주민세,12915119000,0.63
2014,전남,군,지방소득세,59867520000,2.91
2014,전남,군,지역자원시설세,0,0
2014,전남,시,과년도수입,2503913000,0.02
2014,전남,시,담배소비세,60015802000,0.44
2014,전남,시,도시계획세(재산세),1655000,0
2014,전남,시,도축세,0,0
2014,전남,시,자동차세,178631472000,1.31
2014,전남,시,재산세,110655325000,0.81
2014,전남,시,주민세,28176435000,0.21
2014,전남,시,지방소득세,161519257000,1.19
2014,전남,시,지역자원시설세,0,0
2014,전남,시도,과년도수입,2485352000,0
2014,전남,시도,담배소비세,0,0
2014,전남,시도,등록면허세,38254048000,0.08
2014,전남,시도,레저세,0,0
2014,전남,시도,자동차세,0,0
2014,전남,시도,지방교육세,141623668000,0.3
