회계연도,지역명,자치단체명,본청여부,당초예산,세입결산,오차액,오차율
2013,강원,강원강릉시,N,647971496000,837379717157,189408221157,29.2309
2013,강원,강원고성군,N,251956256000,332195027392,80238771392,31.8463
2013,강원,강원동해시,N,292767027000,339244958905,46477931905,15.8754
2013,강원,강원본청,Y,4219834004000,5006437812589,786603808589,18.6406
2013,강원,강원삼척시,N,444880733000,565009719041,120128986041,27.0025
2013,강원,강원속초시,N,294853676000,354882865285,60029189285,20.359
2013,강원,강원양구군,N,248470914000,330407237554,81936323554,32.9762
2013,강원,강원양양군,N,220497661000,267668388873,47170727873,21.3928
2013,강원,강원영월군,N,283182237000,426484391046,143302154046,50.6042
2013,강원,강원원주시,N,804657154000,1126977906442,322320752442,40.0569
2013,강원,강원인제군,N,280785514000,397392145566,116606631566,41.5287
2013,강원,강원정선군,N,324025063000,442441711570,118416648570,36.5455
2013,강원,강원철원군,N,273893093000,370468800407,96575707407,35.2604
2013,강원,강원춘천시,N,923322521000,1309541278987,386218757987,41.8292
2013,강원,강원태백시,N,255965355000,363332742951,107367387951,41.9461
2013,강원,강원평창군,N,286735303000,436999735469,150264432469,52.4053
2013,강원,강원홍천군,N,406298761000,618351160664,212052399664,52.1912
2013,강원,강원화천군,N,230233674000,321608757368,91375083368,39.688
2013,강원,강원횡성군,N,301405713000,451068596651,149662883651,49.655
2013,경기,경기가평군,N,336821903000,473546399340,136724496340,40.5925
2013,경기,경기고양시,N,1456602469000,1899229254921,442626785921,30.3876
2013,경기,경기과천시,N,331609039000,392739797405,61130758405,18.4346
2013,경기,경기광명시,N,544357843000,736499685163,192141842163,35.297
2013,경기,경기광주시,N,543049069000,732062676290,189013607290,34.806
2013,경기,경기구리시,N,362334541000,538858907213,176524366213,48.7186
2013,경기,경기군포시,N,443753678000,586676773530,142923095530,32.2078
2013,경기,경기김포시,N,633886006000,891166355439,257280349439,40.5878
2013,경기,경기남양주시,N,927505188000,1230934190745,303429002745,32.7145
2013,경기,경기동두천시,N,301747304000,414609397820,112862093820,37.4029
2013,경기,경기본청,Y,16630920117000,18008713787202,1377793670202,8.2845
2013,경기,경기부천시,N,1138960114000,1453590010496,314629896496,27.6243
2013,경기,경기성남시,N,2357088769000,2874174807515,517086038515,21.9375
2013,경기,경기수원시,N,1874948413000,2398023349095,523074936095,27.8981
2013,경기,경기시흥시,N,1127721905000,1214299398624,86577493624,7.6772
2013,경기,경기안산시,N,1627149986000,2227279267469,600129281469,36.8822
2013,경기,경기안성시,N,564771963000,706900236816,142128273816,25.1656
2013,경기,경기안양시,N,883880961000,1185498596907,301617635907,34.1242
2013,경기,경기양주시,N,510432641000,684194208978,173761567978,34.042
2013,경기,경기양평군,N,415449373000,530362588424,114913215424,27.66
2013,경기,경기연천군,N,352221240000,541147701136,188926461136,53.6386
2013,경기,경기오산시,N,334776003000,491624269624,156848266624,46.8517
2013,경기,경기용인시,N,1563204818000,2128682071012,565477253012,36.1742
2013,경기,경기의왕시,N,282041057000,412293109527,130252052527,46.1819
2013,경기,경기의정부시,N,706162902000,858162723029,151999821029,21.5248
2013,경기,경기이천시,N,548049847000,849610847997,301561000997,55.0244
2013,경기,경기파주시,N,747780319000,963863796583,216083477583,28.8967
2013,경기,경기평택시,N,924657862000,1412244287329,487586425329,52.7316
2013,경기,경기포천시,N,453061609000,696670240975,243608631975,53.7694
2013,경기,경기하남시,N,454963279000,677665324745,222702045745,48.9495
2013,경기,경기화성시,N,1209087094000,1549075974414,339988880414,28.1195
2013,경남,경남거제시,N,525082638000,753019703688,227937065688,43.4098
2013,경남,경남거창군,N,408157739000,651371311850,243213572850,59.5881
2013,경남,경남고성군,N,326621332000,450091953196,123470621196,37.8024
2013,경남,경남김해시,N,1064936805000,1308645723778,243708918778,22.8848
2013,경남,경남남해군,N,326149878000,438691452566,112541574566,34.5061
2013,경남,경남밀양시,N,538678821000,689476512409,150797691409,27.994
2013,경남,경남본청,Y,6555036293000,8014715119658,1459678826658,22.2681
2013,경남,경남사천시,N,458215316000,556757211423,98541895423,21.5056
2013,경남,경남산청군,N,322079184000,430770316412,108691132412,33.7467
2013,경남,경남양산시,N,655800213000,947241263525,291441050525,44.4405
2013,경남,경남의령군,N,325554560000,419304714311,93750154311,28.7971
2013,경남,경남진주시,N,1005223852000,1236468730001,231244878001,23.0043
2013,경남,경남창녕군,N,387660516000,488666021153,101005505153,26.0551
2013,경남,경남창원시,N,2478206483000,2951642871228,473436388228,19.104
2013,경남,경남통영시,N,431832092000,608512388926,176680296926,40.9141
2013,경남,경남하동군,N,337869700000,438643664631,100773964631,29.8263
2013,경남,경남함안군,N,346072868000,399930612024,53857744024,15.5625
2013,경남,경남함양군,N,327616306000,462397134410,134780828410,41.1398
2013,경남,경남합천군,N,392200885000,589196096707,196995211707,50.2281
2013,경북,경북경산시,N,555912820000,720194592719,164281772719,29.5517
2013,경북,경북경주시,N,1047237866000,1403762081642,356524215642,34.0442
2013,경북,경북고령군,N,245855202000,381088366415,135233164415,55.0052
2013,경북,경북구미시,N,1062937893000,1357407182702,294469289702,27.7033
2013,경북,경북군위군,N,228291909000,323747444706,95455535706,41.8129
2013,경북,경북김천시,N,588099679000,870580475979,282480796979,48.0328
2013,경북,경북문경시,N,447504747000,541223621174,93718874174,20.9425
2013,경북,경북본청,Y,7068818092000,8086823789497,1018005697497,14.4014
2013,경북,경북봉화군,N,302293791000,385627754212,83333963212,27.5672
2013,경북,경북상주시,N,629111357000,780378763986,151267406986,24.0446
2013,경북,경북성주군,N,303559879000,479030097780,175470218780,57.8042
2013,경북,경북안동시,N,762890000000,1025270887714,262380887714,34.393
2013,경북,경북영덕군,N,315064909000,381093162591,66028253591,20.957
2013,경북,경북영양군,N,216764119000,297470599874,80706480874,37.2324
2013,경북,경북영주시,N,521843418000,675213697186,153370279186,29.3901
2013,경북,경북영천시,N,596048148000,831475266218,235427118218,39.498
2013,경북,경북예천군,N,321144573000,396467444987,75322871987,23.4545
2013,경북,경북울릉군,N,142336096000,201282684275,58946588275,41.4137
2013,경북,경북울진군,N,458208557000,639775146487,181566589487,39.6253
2013,경북,경북의성군,N,417105359000,556956120816,139850761816,33.5289
2013,경북,경북청도군,N,305414808000,440798765830,135383957830,44.3279
2013,경북,경북청송군,N,252579112000,353526698346,100947586346,39.9667
2013,경북,경북칠곡군,N,401377180000,558580256340,157203076340,39.1659
2013,경북,경북포항시,N,1261929668000,1479412567869,217482899869,17.2342
2013,광주,광주광산구,N,362689635000,480770609337,118080974337,32.557
2013,광주,광주남구,N,217736387000,323495083945,105758696945,48.5719
2013,광주,광주동구,N,162475774000,260955671441,98479897441,60.6121
2013,광주,광주본청,Y,3495638850000,4242406920455,746768070455,21.3628
2013,광주,광주북구,N,374326643000,498020895102,123694252102,33.0445
2013,광주,광주서구,N,267229429000,375999471410,108770042410,40.7029
2013,대구,대구남구,N,184985163000,220223122412,35237959412,19.0491
2013,대구,대구달서구,N,421132268000,506074603399,84942335399,20.17
2013,대구,대구달성군,N,416196397000,574446458894,158250061894,38.0229
2013,대구,대구동구,N,335953000000,423989489350,88036489350,26.205
2013,대구,대구본청,Y,6061163228000,7199890433136,1138727205136,18.7873
2013,대구,대구북구,N,369280864000,433717627714,64436763714,17.4493
2013,대구,대구서구,N,203266658000,230221184289,26954526289,13.2607
2013,대구,대구수성구,N,356385469000,434955340451,78569871451,22.0463
2013,대구,대구중구,N,144334563000,179172621321,34838058321,24.137
2013,대전,대전대덕구,N,243679976000,308915563469,65235587469,26.771
2013,대전,대전동구,N,306111919000,394045498613,87933579613,28.726
2013,대전,대전본청,Y,3706749120000,4603697587932,896948467932,24.1977
2013,대전,대전서구,N,372250960000,522509777648,150258817648,40.3649
2013,대전,대전유성구,N,309284112000,432204828945,122920716945,39.7436
2013,대전,대전중구,N,266601206000,355936848982,89335642982,33.5091
2013,부산,부산강서구,N,158924578000,261205273517,102280695517,64.358
2013,부산,부산금정구,N,231209165000,313708311073,82499146073,35.6816
2013,부산,부산기장군,N,369694630000,465390037473,95695407473,25.885
2013,부산,부산남구,N,197881045000,300011420642,102130375642,51.612
2013,부산,부산동구,N,155665726000,206060602807,50394876807,32.3738
2013,부산,부산동래구,N,238118061000,301066010570,62947949570,26.4356
2013,부산,부산본청,Y,8845982007000,10673329509434,1827347502434,20.6574
2013,부산,부산부산진구,N,311381383000,411482339590,100100956590,32.1474
2013,부산,부산북구,N,251845815000,329661669700,77815854700,30.8982
2013,부산,부산사상구,N,235118613000,299816768015,64698155015,27.5172
2013,부산,부산사하구,N,283853901000,372567126376,88713225376,31.2531
2013,부산,부산서구,N,167444975000,211355178752,43910203752,26.2237
2013,부산,부산수영구,N,154458640000,203234605300,48775965300,31.5787
2013,부산,부산연제구,N,225749151000,275478537550,49729386550,22.0286
2013,부산,부산영도구,N,157156085000,219475110860,62319025860,39.6542
2013,부산,부산중구,N,104078632000,153118068388,49039436388,47.1177
2013,부산,부산해운대구,N,335290424000,447455418316,112164994316,33.4531
2013,서울,서울강남구,N,785483202000,919494092751,134010890751,17.0609
2013,서울,서울강동구,N,392466541000,456980195952,64513654952,16.438
2013,서울,서울강북구,N,364966784000,447070968951,82104184951,22.4963
2013,서울,서울강서구,N,510240593000,586774224714,76533631714,14.9995
2013,서울,서울관악구,N,397781064000,469743917323,71962853323,18.0911
2013,서울,서울광진구,N,320355348000,392758793107,72403445107,22.601
2013,서울,서울구로구,N,407225694000,484244684156,77018990156,18.9131
2013,서울,서울금천구,N,300828747000,344521675060,43692928060,14.5242
2013,서울,서울노원구,N,520504741000,598796222865,78291481865,15.0415
2013,서울,서울도봉구,N,316673122000,389195130704,72522008704,22.9012
2013,서울,서울동대문구,N,362738488000,428801613242,66063125242,18.2123
2013,서울,서울동작구,N,365195452000,412822877547,47627425547,13.0416
2013,서울,서울마포구,N,420629432000,503486556630,82857124630,19.6984
2013,서울,서울본청,Y,24636431859000,26802951361098,2166519502098,8.794
2013,서울,서울서대문구,N,320550748000,370478284313,49927536313,15.5755
2013,서울,서울서초구,N,523648221000,601876376980,78228155980,14.9391
2013,서울,서울성동구,N,346015788000,422553098560,76537310560,22.1196
2013,서울,서울성북구,N,420822370000,485625323634,64802953634,15.3991
2013,서울,서울송파구,N,474540072000,542823636367,68283564367,14.3894
2013,서울,서울양천구,N,416127159000,471314271168,55187112168,13.2621
2013,서울,서울영등포구,N,411445144000,482256785696,70811641696,17.2105
2013,서울,서울용산구,N,295163297000,345527844708,50364547708,17.0633
2013,서울,서울은평구,N,412777493000,482883871164,70106378164,16.9841
2013,서울,서울종로구,N,356245601000,443177511922,86931910922,24.4022
2013,서울,서울중구,N,305576026000,378816374896,73240348896,23.968
2013,서울,서울중랑구,N,363109541000,415390227569,52280686569,14.398
2013,세종,세종본청,Y,617834632000,864159564049,246324932049,39.8691
2013,울산,울산남구,N,289186186000,393915688897,104729502897,36.2153
