회계연도,지역명,자치단체명,자치단체코드,본청여부,전년도현재액,증감액총계,조성액,사용액,당해년도현재액
2014,경남,경남산청군,4877000,N,4583830532,324997541,1016327541,691330000,4908828073
2014,경남,경남함양군,4878000,N,4321211913,160345310,1460754500,1300409190,4481557223
2014,경남,경남거창군,4879000,N,11109376186,1730982218,2640593758,909611540,12840358404
2014,경남,경남합천군,4880000,N,9511659580,278248280,1247461230,969212950,9789907860
2014,제주,제주본청,4900000,Y,332538033045,27341633812,164117691456,136776057644,359879666857
2015,서울,서울본청,1100000,Y,3960582195805,-127506401289,1051245604239,1178752005528,3833075794516
2015,서울,서울종로구,1111000,N,84143901087,2553550169,5209197929,2655647760,86697451256
2015,서울,서울중구,1112000,N,18448347371,2957825823,10527495255,7569669432,21406173194
2015,서울,서울용산구,1113000,N,25080328166,7101641721,10617245381,3515603660,32181969887
2015,서울,서울성동구,1114000,N,37348688975,-3773933395,12587434703,16361368098,33574755580
2015,서울,서울광진구,1115000,N,34133996190,11471761021,16458675581,4986914560,45605757211
2015,서울,서울동대문구,1116000,N,11549095884,-108401877,6938205121,7046606998,11440694007
2015,서울,서울중랑구,1117000,N,22820681779,-44129519,6287014991,6331144510,22776552260
2015,서울,서울성북구,1118000,N,14636556598,-1725527579,3861672076,5587199655,12911029019
2015,서울,서울강북구,1119000,N,30029225542,3697495098,9976428769,6278933671,33726720640
2015,서울,서울도봉구,1120000,N,13742618491,1714793804,5870826096,4156032292,15457412295
2015,서울,서울노원구,1121000,N,13983501954,501905321,12476269249,11974363928,14485407275
2015,서울,서울은평구,1122000,N,21058281385,331310354,5139485044,4808174690,21389591739
2015,서울,서울서대문구,1123000,N,12851839270,-109569237,4124817543,4234386780,12742270033
2015,서울,서울마포구,1124000,N,48919161318,5004640242,22069607802,17064967560,53923801560
2015,서울,서울양천구,1125000,N,15869761726,2027880658,5703980378,3676099720,17897642384
2015,서울,서울강서구,1126000,N,80118690550,3073980876,10376668766,7302687890,83192671426
2015,서울,서울구로구,1127000,N,49499374020,6918805075,34881420686,27962615611,56418179095
2015,서울,서울금천구,1128000,N,10750627070,2031181020,5891579920,3860398900,12781808090
2015,서울,서울영등포구,1129000,N,21571987416,3485522435,10456765629,6971243194,25057509851
2015,서울,서울동작구,1130000,N,40223356263,15060361579,21087682199,6027320620,55283717842
2015,서울,서울관악구,1131000,N,15846790501,-1925161322,4277361078,6202522400,13921629179
2015,서울,서울서초구,1132000,N,183670530421,3427653279,14542205969,11114552690,187098183700
2015,서울,서울강남구,1133000,N,225689160106,4612660334,24795694973,20183034639,230301820440
2015,서울,서울송파구,1134000,N,16747304145,4967996692,14562359768,9594363076,21715300837
2015,서울,서울강동구,1135000,N,22421245230,4145987958,15519616589,11373628631,26567233188
2015,부산,부산본청,2600000,Y,775586957906,94952057386,622823664918,527871607532,870539015292
2015,부산,부산중구,2611000,N,2652140493,-72833770,342142714,414976484,2579306723
2015,부산,부산서구,2612000,N,1955872797,489962915,658926045,168963130,2445835712
2015,부산,부산동구,2613000,N,5258109467,-264894476,396741204,661635680,4993214991
2015,부산,부산영도구,2614000,N,4718326110,-117960190,317891470,435851660,4600365920
2015,부산,부산부산진구,2615000,N,3979131100,930590140,1415588360,484998220,4909721240
2015,부산,부산동래구,2616000,N,28151904200,10722647540,11310180330,587532790,38874551740
2015,부산,부산남구,2617000,N,3654327996,626437262,789384702,162947440,4280765258
2015,부산,부산북구,2618000,N,4804071730,2393171380,2823855990,430684610,7197243110
2015,부산,부산해운대구,2619000,N,15825293576,1084124351,1915887641,831763290,16909417927
2015,부산,부산사하구,2620000,N,5146178525,542999591,1007871231,464871640,5689178116
2015,부산,부산금정구,2621000,N,3204998288,142559900,615666690,473106790,3347558188
2015,부산,부산강서구,2622000,N,2211864506,276685702,809756372,533070670,2488550208
2015,부산,부산연제구,2623000,N,14495859900,228125480,2603519220,2375393740,14723985380
2015,부산,부산수영구,2624000,N,9046469800,574189180,726187530,151998350,9620658980
2015,부산,부산사상구,2625000,N,10774475754,1226601645,2694102215,1467500570,12001077399
2015,부산,부산기장군,2671000,N,6077787957,7525609064,8024290684,498681620,13603397021
